id;title;title_en;title_jp;title_alias;type;source;num_episodes;status;duration;rating;score;scored_by;score_rank;popularity_rank;members;favorites;season;year;producers;licensors;studios;genres;explicit_genres;themes;target_audience;image_link;airing_date;end_date;full_airing_date;broadcast_day
1;Cowboy Bebop;Cowboy Bebop;カウボーイビバップ;;TV;Original;26;Finished Airing;24 min per ep;R - 17+ (violence & profanity);8.75;870500;38;43;1685128;74936;spring;1998;Bandai Visual;Funimation, Bandai Entertainment;Sunrise;Action, Sci-Fi;;Adult Cast, Space;;https://cdn.myanimelist.net/images/anime/4/19644.jpg;1998-04-03;1999-04-24;Apr 3, 1998 to Apr 24, 1999;Saturdays
5;Cowboy Bebop: Tengoku no Tobira;Cowboy Bebop: The Movie;カウボーイビバップ 天国の扉;Cowboy Bebop: Knockin' on Heaven's Door;Movie;Original;1;Finished Airing;1 hr 55 min;R - 17+ (violence & profanity);8.38;198824;182;582;346041;1360;;;Sunrise, Bandai Visual;Sony Pictures Entertainment;Bones;Action, Sci-Fi;;Adult Cast, Space;;https://cdn.myanimelist.net/images/anime/1439/93480.jpg;2001-09-01;;Sep 1, 2001;
6;Trigun;Trigun;トライガン;;TV;Manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;8.22;338663;318;245;684576;13909;spring;1998;Victor Entertainment;Funimation, Geneon Entertainment USA;Madhouse;Action, Adventure, Comedy, Drama, Sci-Fi;;Adult Cast;Shounen;https://cdn.myanimelist.net/images/anime/7/20310.jpg;1998-04-01;1998-09-30;Apr 1, 1998 to Sep 30, 1998;Thursdays
7;Witch Hunter Robin;Witch Hunter Robin;Witch Hunter ROBIN (ウイッチハンターロビン);WHR;TV;Original;26;Finished Airing;25 min per ep;PG-13 - Teens 13 or older;7.25;42088;2753;1722;108368;592;summer;2002;TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment;Funimation, Bandai Entertainment;Sunrise;Action, Drama, Mystery, Supernatural;;Detective;;https://cdn.myanimelist.net/images/anime/10/19969.jpg;2002-07-03;2002-12-25;Jul 3, 2002 to Dec 25, 2002;
8;Bouken Ou Beet;Beet the Vandel Buster;冒険王ビィト;Adventure King Beet;TV;Manga;52;Finished Airing;23 min per ep;PG - Children;6.94;6306;4192;4961;14596;14;fall;2004;TV Tokyo, Dentsu;Illumitoon Entertainment;Toei Animation;Adventure, Fantasy, Supernatural;;;Shounen;https://cdn.myanimelist.net/images/anime/7/21569.jpg;2004-09-30;2005-09-29;Sep 30, 2004 to Sep 29, 2005;Thursdays
15;Eyeshield 21;;アイシールド21;Eyeshield21;TV;Manga;145;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.92;84627;686;1195;172677;1941;spring;2005;TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha;VIZ Media, Sentai Filmworks;Gallop;Sports;;Team Sports;Shounen;https://cdn.myanimelist.net/images/anime/12/66961.jpg;2005-04-06;2008-03-19;Apr 6, 2005 to Mar 19, 2008;Wednesdays
16;Hachimitsu to Clover;Honey and Clover;ハチミツとクローバー;HachiKuro, Honey & Clover;TV;Manga;24;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;8.01;80198;566;822;252450;4084;spring;2005;Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha;VIZ Media, Discotek Media;J.C.Staff;Comedy, Drama, Romance, Slice of Life;;Love Polygon, Visual Arts;Josei;https://cdn.myanimelist.net/images/anime/11/73923.jpg;2005-04-15;2005-09-27;Apr 15, 2005 to Sep 27, 2005;Fridays
17;Hungry Heart: Wild Striker;;ハングリーハート Wild Striker;;TV;Manga;52;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.55;12686;1528;4072;23428;230;fall;2002;;;Nippon Animation;Comedy, Slice of Life, Sports;;Team Sports;Shounen;https://cdn.myanimelist.net/images/anime/12/49655.jpg;2002-09-11;2003-09-10;Sep 11, 2002 to Sep 10, 2003;
18;Initial D Fourth Stage;;頭文字〈イニシャル〉D FOURTH STAGE;Initial D 4th Stage;TV;Manga;24;Finished Airing;27 min per ep;PG-13 - Teens 13 or older;8.15;92143;393;1257;161797;1179;spring;2004;OB Planning, Studio Jack;Funimation;A.C.G.T.;Action, Drama;;Racing;Seinen;https://cdn.myanimelist.net/images/anime/9/10521.jpg;2004-04-17;2006-02-18;Apr 17, 2004 to Feb 18, 2006;
19;Monster;Monster;モンスター;;TV;Manga;74;Finished Airing;24 min per ep;R+ - Mild Nudity;8.85;328391;25;150;914605;42098;spring;2004;VAP, Shogakukan-Shueisha Productions, Nippon Television Network;VIZ Media;Madhouse;Drama, Mystery, Suspense;;Adult Cast, Psychological;Seinen;https://cdn.myanimelist.net/images/anime/10/18793.jpg;2004-04-07;2005-09-28;Apr 7, 2004 to Sep 28, 2005;Wednesdays
20;Naruto;Naruto;ナルト;NARUTO;TV;Manga;220;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.98;1805610;609;8;2588689;72910;fall;2002;TV Tokyo, Aniplex, Shueisha;VIZ Media;Pierrot;Action, Adventure, Fantasy;;Martial Arts;Shounen;https://cdn.myanimelist.net/images/anime/13/17405.jpg;2002-10-03;2007-02-08;Oct 3, 2002 to Feb 8, 2007;Thursdays
21;One Piece;One Piece;ONE PIECE;OP;TV;Manga;;Currently Airing;24 min;PG-13 - Teens 13 or older;8.67;1144862;59;23;2005528;182479;fall;1999;Fuji TV, TAP, Shueisha;Funimation, 4Kids Entertainment;Toei Animation;Action, Adventure, Fantasy;;;Shounen;https://cdn.myanimelist.net/images/anime/6/73245.jpg;1999-10-20;;Oct 20, 1999 to ?;Sundays
22;Tennis no Ouji-sama;The Prince of Tennis;テニスの王子様;TeniPuri, PoT;TV;Manga;178;Finished Airing;22 min per ep;PG-13 - Teens 13 or older;7.87;80157;768;1202;171742;2957;fall;2001;Production I.G, Nihon Ad Systems;Funimation, VIZ Media;Trans Arts;Sports;;School;Shounen;https://cdn.myanimelist.net/images/anime/6/21624.jpg;2001-10-10;2005-03-23;Oct 10, 2001 to Mar 23, 2005;Wednesdays
24;School Rumble;School Rumble;スクールランブル;;TV;Manga;26;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.89;144059;734;651;313030;5060;fall;2004;TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack;Funimation;Studio Comet;Comedy, Romance;;Gag Humor, Love Polygon, School;Shounen;https://cdn.myanimelist.net/images/anime/4/75488.jpg;2004-10-05;2005-03-29;Oct 5, 2004 to Mar 29, 2005;Tuesdays
25;Sunabouzu;Desert Punk;砂ぼうず;Sunabozu;TV;Manga;24;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.39;52425;2116;1484;129987;807;fall;2004;GDH, Pony Canyon, CBC Television;Funimation;Gonzo;Action, Adventure, Comedy, Sci-Fi, Ecchi;;;Shounen;https://cdn.myanimelist.net/images/anime/6/75536.jpg;2004-10-06;2005-03-30;Oct 6, 2004 to Mar 30, 2005;
26;Texhnolyze;Texhnolyze;TEXHNOLYZE;Technolyze;TV;Original;22;Finished Airing;23 min per ep;R+ - Mild Nudity;7.76;52873;993;911;228262;4524;spring;2003;Group TAC, Rondo Robe, Fuji TV, Pioneer LDC;Funimation, Geneon Entertainment USA;Madhouse;Action, Drama, Sci-Fi;;Psychological;;https://cdn.myanimelist.net/images/anime/3/18165.jpg;2003-04-17;2003-09-25;Apr 17, 2003 to Sep 25, 2003;Thursdays
27;Trinity Blood;Trinity Blood;トリニティ・ブラッド;;TV;Light novel;24;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.3;78050;2496;1168;175310;1274;spring;2005;;Funimation;Gonzo;Action, Supernatural;;Vampire;;https://cdn.myanimelist.net/images/anime/10/24649.jpg;2005-04-29;2005-10-28;Apr 29, 2005 to Oct 28, 2005;Fridays
28;Yakitate!! Japan;Yakitate!! Japan;焼きたて!! ジャぱん;Freshly Baked!! Ja-pan!;TV;Manga;69;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.92;39705;686;1913;92815;875;fall;2004;TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa;Nozomi Entertainment;Sunrise;Comedy, Gourmet;;;Shounen;https://cdn.myanimelist.net/images/anime/3/76432.jpg;2004-10-12;2006-03-14;Oct 12, 2004 to Mar 14, 2006;
29;Zipang;;ジパング;;TV;Manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.48;6959;1784;4342;20218;172;fall;2004;Marvelous, TBS;Geneon Entertainment USA;Studio Deen;Action, Drama, Sci-Fi;;Adult Cast, Historical, Military, Time Travel;Seinen;https://cdn.myanimelist.net/images/anime/13/75740.jpg;2004-10-08;2005-04-01;Oct 8, 2004 to Apr 1, 2005;
30;Neon Genesis Evangelion;Neon Genesis Evangelion;新世紀エヴァンゲリオン;Shinseiki Evangelion;TV;Original;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;8.34;972432;207;46;1628265;95687;fall;1995;TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka;ADV Films, GKIDS;Gainax, Tatsunoko Production;Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense;;Mecha, Psychological;;https://cdn.myanimelist.net/images/anime/1314/108941.jpg;1995-10-04;1996-03-27;Oct 4, 1995 to Mar 27, 1996;Wednesdays
31;Neon Genesis Evangelion: Death & Rebirth;Neon Genesis Evangelion: Death & Rebirth;新世紀エヴァンゲリオン劇場版 シト新生;Shinseiki Evangelion Gekijouban: Shi to Shinsei, Neon Genesis Evangelion - Death and Rebirth;Movie;Original;1;Finished Airing;1 hr 44 min;R - 17+ (violence & profanity);7.46;134597;1839;869;240579;652;;;Movic, Sega, TV Tokyo Music, Audio Tanaka;GKIDS, Manga Entertainment;Gainax, Production I.G;Drama, Sci-Fi;;Mecha, Psychological;;https://cdn.myanimelist.net/images/anime/1993/113122.jpg;1997-03-15;;Mar 15, 1997;
32;Neon Genesis Evangelion: The End of Evangelion;Neon Genesis Evangelion: The End of Evangelion;新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION;Shinseiki Evangelion Gekijouban: The End of Evangelion;Movie;Original;1;Finished Airing;1 hr 26 min;R+ - Mild Nudity;8.55;554542;99;174;830846;25745;;;TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka;GKIDS, Manga Entertainment;Gainax, Production I.G;Avant Garde, Drama, Sci-Fi;;Mecha, Psychological;;https://cdn.myanimelist.net/images/anime/1404/98182.jpg;1997-07-19;;Jul 19, 1997;
33;Kenpuu Denki Berserk;Berserk;剣風伝奇ベルセルク;Berserk: The Chronicles of Wind Blades, Sword-Wind Chronicle Berserk;TV;Manga;25;Finished Airing;25 min per ep;R+ - Mild Nudity;8.55;303273;97;334;566612;23585;fall;1997;VAP, Hakusensha, Nippon Television Network;Media Blasters, NYAV Post;OLM;Action, Adventure, Drama, Fantasy, Horror, Supernatural;;Gore, Military, Mythology;Seinen;https://cdn.myanimelist.net/images/anime/1384/119988.jpg;1997-10-08;1998-04-01;Oct 8, 1997 to Apr 1, 1998;Wednesdays
43;Koukaku Kidoutai;Ghost in the Shell;GHOST IN THE SHELL（攻殻機動隊）;Ghost in the Shell;Movie;Manga;1;Finished Airing;1 hr 22 min;R+ - Mild Nudity;8.27;303097;268;324;576768;11667;;;Bandai Visual, Kodansha;Manga Entertainment;Production I.G;Action, Mystery, Sci-Fi, Suspense;;Adult Cast, Detective, Mecha, Psychological;Seinen;https://cdn.myanimelist.net/images/anime/10/82594.jpg;1995-11-18;;Nov 18, 1995;
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;Samurai X: Trust and Betrayal;るろうに剣心―明治剣客浪漫譚―追憶編;Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Reminiscence;OVA;Manga;4;Finished Airing;30 min per ep;R - 17+ (violence & profanity);8.71;131611;47;795;262593;6018;;;Aniplex;ADV Films, Aniplex of America;Studio Deen;Action, Drama, Romance;;Adult Cast, Historical, Martial Arts, Samurai;Shounen;https://cdn.myanimelist.net/images/anime/1391/120839.jpg;1999-02-20;1999-09-22;Feb 20, 1999 to Sep 22, 1999;
45;Rurouni Kenshin: Meiji Kenkaku Romantan;Rurouni Kenshin;るろうに剣心 -明治剣客浪漫譚-;Samurai X, Wandering Kenshin: Romantic Tales from the Meiji Era;TV;Manga;94;Finished Airing;25 min per ep;PG-13 - Teens 13 or older;8.29;224737;251;414;462186;9702;winter;1996;Aniplex, SME Visual Works, Fuji TV;Media Blasters, Aniplex of America;Gallop, Studio Deen;Action, Adventure, Comedy, Romance;;Historical, Samurai;Shounen;https://cdn.myanimelist.net/images/anime/1346/119505.jpg;1996-01-10;1998-09-08;Jan 10, 1996 to Sep 8, 1998;Wednesdays
46;Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka;Samurai X: The Motion Picture;るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌;Rurouni Kenshin: Ishinshishi e no Requiem, Kenshin - Samurai X, Rurouni Kenshin Movie, Rurouni Kenshin - Requiem for the Restoration Royalists, Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem;Movie;Manga;1;Finished Airing;1 hr 31 min;R - 17+ (violence & profanity);7.55;26375;1545;2768;49440;86;;;Fuji TV, Sony Music Entertainment;ADV Films, Aniplex of America;Gallop;Drama;;Historical, Samurai;Shounen;https://cdn.myanimelist.net/images/anime/4/47845.jpg;1997-12-20;;Dec 20, 1997;
47;Akira;Akira;AKIRA（アキラ）;;Movie;Manga;1;Finished Airing;2 hr 4 min;R+ - Mild Nudity;8.16;461254;383;206;761805;12150;;;Mainichi Broadcasting System, Kodansha, Toho, Streamline Pictures;Funimation, Bandai Entertainment, Geneon Entertainment USA;Tokyo Movie Shinsha;Action, Adventure, Horror, Sci-Fi, Supernatural;;Gore, Military;Seinen;https://cdn.myanimelist.net/images/anime/1408/114012.jpg;1988-07-16;;Jul 16, 1988;
48;.hack//Sign;.hack//Sign;.hack//SIGN;;TV;Original;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;6.95;81804;4150;1176;174762;1308;spring;2002;Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2;Funimation, Bandai Entertainment;Bee Train;Adventure, Fantasy, Mystery, Sci-Fi;;Video Game;;https://cdn.myanimelist.net/images/anime/1443/94665.jpg;2002-04-04;2002-09-26;Apr 4, 2002 to Sep 26, 2002;
49;Aa! Megami-sama!;Oh! My Goddess;ああっ女神さまっ;Ah! My Goddess (OVA);OVA;Manga;5;Finished Airing;30 min per ep;PG-13 - Teens 13 or older;7.3;25926;2476;2723;51181;240;;;Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion;AnimEigo;AIC;Comedy, Romance, Supernatural;;;Seinen;https://cdn.myanimelist.net/images/anime/11/71215.jpg;1993-02-21;1994-05-17;Feb 21, 1993 to May 17, 1994;
50;Aa! Megami-sama! (TV);Ah! My Goddess;ああっ女神さまっ;Ah! My Goddess! (TV);TV;Manga;24;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.33;75174;2338;1327;151743;1087;winter;2005;Bandai Visual, TBS, Imagine;Media Blasters, NYAV Post;AIC;Comedy, Romance, Supernatural;;;Seinen;https://cdn.myanimelist.net/images/anime/1976/99376.jpg;2005-01-07;2005-07-08;Jan 7, 2005 to Jul 8, 2005;
51;Tenshi Kinryouku;Angel Sanctuary;天使禁猟区;;OVA;Manga;3;Finished Airing;29 min per ep;R+ - Mild Nudity;6.28;26380;7722;2836;47178;177;;;Bandai Visual, Lantis, Audio Tanaka;Media Blasters;Hal Film Maker;Action, Drama, Romance, Supernatural;;Reincarnation;Shoujo;https://cdn.myanimelist.net/images/anime/11/45208.jpg;2000-05-25;2000-08-25;May 25, 2000 to Aug 25, 2000;
52;Kidou Tenshi Angelic Layer;Battle Doll Angelic Layer;機動天使エンジェリックレイヤー;;TV;Manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.26;28081;2732;2596;55880;283;spring;2001;Dentsu, TV Tokyo Music;ADV Films, Sentai Filmworks;Bones;Comedy, Drama, Sci-Fi, Sports;;;Shounen;https://cdn.myanimelist.net/images/anime/1192/113699.jpg;2001-04-01;2001-09-23;Apr 1, 2001 to Sep 23, 2001;Sundays
53;Ai Yori Aoshi;Ai Yori Aoshi;藍より青し;Bluer Than Indigo;TV;Manga;24;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.11;52184;3477;1762;105921;433;spring;2002;Movic, Fuji TV, Pioneer LDC, Cosmic Ray;Funimation, Geneon Entertainment USA;J.C.Staff;Comedy, Drama, Romance;;Harem;Seinen;https://cdn.myanimelist.net/images/anime/7/10172.jpg;2002-04-11;2002-09-26;Apr 11, 2002 to Sep 26, 2002;
54;Appleseed (Movie);;アップルシード;Appleseed (2004);Movie;Manga;1;Finished Airing;1 hr 45 min;R - 17+ (violence & profanity);7.07;40686;3655;2256;70732;168;;;Mainichi Broadcasting System, Toho, TYO Animations, TYO;Sentai Filmworks, Geneon Entertainment USA;Digital Frontier;Action, Drama, Sci-Fi;;Detective, Mecha, Military;Shounen;https://cdn.myanimelist.net/images/anime/9/57231.jpg;2004-04-17;;Apr 17, 2004;
55;Arc the Lad;;アークザラッド;Arc;TV;Game;26;Finished Airing;22 min per ep;R - 17+ (violence & profanity);6.5;5775;6496;4850;15548;14;spring;1999;Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment;ADV Films;Bee Train;Action, Adventure, Fantasy, Horror, Sci-Fi;;;;https://cdn.myanimelist.net/images/anime/3/49041.jpg;1999-04-05;1999-09-11;Apr 5, 1999 to Sep 11, 1999;Mondays
57;Beck;Beck: Mongolian Chop Squad;ベック;BECK;TV;Manga;26;Finished Airing;25 min per ep;R - 17+ (violence & profanity);8.29;132713;247;648;313581;7881;fall;2004;Marvelous, Starchild Records, Asatsu DK, Kodansha;Funimation;Madhouse;Comedy, Drama, Slice of Life;;Music;Shounen;https://cdn.myanimelist.net/images/anime/11/11636.jpg;2004-10-07;2005-03-31;Oct 7, 2004 to Mar 31, 2005;Thursdays
58;Blue Gender;Blue Gender;BLUE GENDER;;TV;Original;26;Finished Airing;23 min per ep;R+ - Mild Nudity;7.03;28985;3855;2170;75542;397;fall;1999;Youmex, Toshiba EMI;Funimation;AIC;Adventure, Drama, Horror, Romance, Sci-Fi;;Mecha, Military, Space;;https://cdn.myanimelist.net/images/anime/1/2023.jpg;1999-10-08;2000-03-31;Oct 8, 1999 to Mar 31, 2000;Thursdays
59;Chobits;Chobits;ちょびっツ;;TV;Manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.41;244380;2028;417;457653;3665;spring;2002;TBS, Pioneer LDC;Funimation, Geneon Entertainment USA;Madhouse;Comedy, Drama, Romance, Sci-Fi, Ecchi;;;Seinen;https://cdn.myanimelist.net/images/anime/4/24648.jpg;2002-04-03;2002-09-25;Apr 3, 2002 to Sep 25, 2002;Wednesdays
60;Chrno Crusade;Chrono Crusade;クロノクルセイド;Chrono Crusade: Mary Magdalene;TV;Manga;24;Finished Airing;23 min per ep;R - 17+ (violence & profanity);7.62;101325;1309;952;216749;1913;fall;2003;Lantis, Kadokawa Shoten, Fuji TV;ADV Films, Funimation;Gonzo;Action, Romance, Supernatural;;Historical, Mythology;Shounen;https://cdn.myanimelist.net/images/anime/13/14141.jpg;2003-11-25;2004-06-10;Nov 25, 2003 to Jun 10, 2004;Tuesdays
61;D.N.Angel;D.N.Angel;Ｄ・Ｎ・ＡＮＧＥＬ;DN Angel, DNAngel;TV;Manga;26;Finished Airing;23 min per ep;PG-13 - Teens 13 or older;7.17;97085;3187;1144;179637;1254;spring;2003;Kadokawa Shoten;ADV Films, Discotek Media;Xebec;Action, Comedy, Fantasy, Romance;;School;Shoujo;https://cdn.myanimelist.net/images/anime/1126/98904.jpg;2003-04-03;2003-09-25;Apr 3, 2003 to Sep 25, 2003;
62;D.C.: Da Capo;D.C.~Da Capo~;D.C.～ダ・カーポ～;;TV;Visual novel;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;6.72;30003;5259;2209;73447;185;summer;2003;Lantis, King Records;;feel., Zexcs;Drama, Romance;;Harem;;https://cdn.myanimelist.net/images/anime/4/73936.jpg;2003-07-05;2003-12-27;Jul 5, 2003 to Dec 27, 2003;
63;DearS;DearS;ディアーズ;;TV;Manga;12;Finished Airing;23 min per ep;R+ - Mild Nudity;6.57;77473;6060;1393;142349;340;summer;2004;Bandai Visual, Hal Film Maker, Genco, Lantis;Discotek Media, Geneon Entertainment USA;Daume;Comedy, Romance, Sci-Fi, Ecchi;;Harem;Shounen;https://cdn.myanimelist.net/images/anime/1207/98872.jpg;2004-07-11;2004-09-26;Jul 11, 2004 to Sep 26, 2004;Sundays
64;Rozen Maiden;Rozen Maiden;ローゼンメイデン;;TV;Manga;12;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.41;94311;2039;1060;195265;1897;fall;2004;Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack;Sentai Filmworks, Geneon Entertainment USA;Nomad;Action, Comedy, Drama;;;Seinen;https://cdn.myanimelist.net/images/anime/1424/108431.jpg;2004-10-08;2004-12-24;Oct 8, 2004 to Dec 24, 2004;Fridays
65;Rozen Maiden: Träumend;Rozen Maiden: Träumend;ローゼンメイデン トロイメント;Rozen Maiden 2;TV;Manga;12;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.62;57196;1316;1812;101117;447;fall;2005;Mellow Head, TBS;Sentai Filmworks, Geneon Entertainment USA;Nomad;Action, Comedy, Drama;;;Seinen;https://cdn.myanimelist.net/images/anime/4/10242.jpg;2005-10-21;2006-01-27;Oct 21, 2005 to Jan 27, 2006;Fridays
66;Azumanga Daiou The Animation;Azumanga Daioh: The Animation;あずまんが大王 THE ANIMATION;Azumanga Daiou;TV;4-koma manga;26;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.98;140819;600;664;309640;5750;spring;2002;Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records;ADV Films, Sentai Filmworks;J.C.Staff;Comedy, Slice of Life;;CGDCT, Gag Humor, School;;https://cdn.myanimelist.net/images/anime/1066/117358.jpg;2002-04-09;2002-10-01;Apr 9, 2002 to Oct 1, 2002;Tuesdays
67;Basilisk: Kouga Ninpou Chou;Basilisk;バジリスク 甲賀忍法帖;Basilisk: Koga Nimpo Cho;TV;Manga;24;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.55;75051;1515;1162;176802;1342;spring;2005;GDH, Kodansha, Sotsu Music Publishing;Funimation;Gonzo;Action, Adventure, Fantasy, Romance, Supernatural;;Historical, Samurai;Seinen;https://cdn.myanimelist.net/images/anime/11/6793.jpg;2005-04-13;2005-09-21;Apr 13, 2005 to Sep 21, 2005;
68;Black Cat (TV);Black Cat;ブラックキャット;;TV;Manga;23;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.34;125365;2317;806;258844;1749;fall;2005;GDH, Dentsu, TBS, Sotsu Music Publishing;Funimation;Gonzo;Adventure, Comedy, Sci-Fi;;Super Power;Shounen;https://cdn.myanimelist.net/images/anime/1485/110010.jpg;2005-10-07;2006-03-31;Oct 7, 2005 to Mar 31, 2006;Fridays
69;Cluster Edge;;CLUSTER EDGE（クラスターエッジ）;;TV;Original;25;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;6.32;2956;7500;5691;10314;12;fall;2005;Bandai Visual, Imagine;Sentai Filmworks;Sunrise;Action, Fantasy, Sci-Fi;;Military;;https://cdn.myanimelist.net/images/anime/1980/103243.jpg;2005-10-05;2006-03-29;Oct 5, 2005 to Mar 29, 2006;Wednesdays
71;Full Metal Panic!;Full Metal Panic!;フルメタル・パニック！;FMP, Fullmetal Panic!;TV;Light novel;24;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.61;232374;1346;407;468333;4244;winter;2002;Kadokawa Shoten, KlockWorx;ADV Films, Funimation;Gonzo;Action, Comedy, Sci-Fi;;Mecha, Military;;https://cdn.myanimelist.net/images/anime/2/75259.jpg;2002-01-08;2002-06-18;Jan 8, 2002 to Jun 18, 2002;Tuesdays
72;Full Metal Panic? Fumoffu;Full Metal Panic? Fumoffu;フルメタル・パニック? ふもっふ;Full Metal Panic Fumoffu, Fullmetal Panic? Fumoffu;TV;Light novel;12;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;8.04;168992;525;738;282643;2881;summer;2003;Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do;ADV Films, Funimation;Kyoto Animation;Action, Comedy;;Gag Humor, School;;https://cdn.myanimelist.net/images/anime/4/75260.jpg;2003-08-26;2003-11-18;Aug 26, 2003 to Nov 18, 2003;Tuesdays
73;Full Metal Panic! The Second Raid;Full Metal Panic! The Second Raid;フルメタル パニック！The Second Raid;Full Metal Panic! TSR;TV;Light novel;13;Finished Airing;24 min per ep;R - 17+ (violence & profanity);7.93;143624;678;830;250286;1249;summer;2005;WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures;ADV Films, Funimation, Kadokawa Pictures USA;Kyoto Animation;Action;;Mecha, Military;;https://cdn.myanimelist.net/images/anime/11/75261.jpg;2005-07-14;2005-10-20;Jul 14, 2005 to Oct 20, 2005;Thursdays
74;Gakuen Alice;Gakuen Alice;学園アリス;Campus Alice, Alice Academy;TV;Manga;26;Finished Airing;25 min per ep;G - All Ages;7.64;49253;1267;1894;94529;1371;fall;2004;Aniplex, Sogo Vision;Nozomi Entertainment;Group TAC;Comedy;;Love Polygon, School, Super Power;Shoujo;https://cdn.myanimelist.net/images/anime/4/18118.jpg;2004-10-30;2005-05-14;Oct 30, 2004 to May 14, 2005;
75;Soukyuu no Fafner: Dead Aggressor;Fafner of the Blue Sky;蒼穹のファフナーDead Aggressor;Fafner in the Azure: Dead Aggressor;TV;Original;25;Finished Airing;24 min per ep;PG-13 - Teens 13 or older;7.27;14456;2663;2886;45562;253;summer;2004;TV Tokyo Music, King Records;Funimation, Geneon Entertainment USA;Xebec;Action, Drama, Sci-Fi;;Mecha, Military;;https://cdn.myanimelist.net/images/anime/3/50365.jpg;2004-07-05;2004-12-27;Jul 5, 2004 to Dec 27, 2004;
77;Mahou Shoujo Lyrical Nanoha A's;Magical Girl Lyrical Nanoha A's;魔法少女リリカルなのは エース;Mahou Shoujo Lyrical Nanoha A's;TV;Original;13;Finished Airing;25 min per ep;PG-13 - Teens 13 or older;7.97;32418;612;2440;62229;979;fall;2005;Starchild Records, Omnibus Japan;Geneon Entertainment USA;Seven Arcs;Action, Comedy, Drama;;Mahou Shoujo, Super Power;;https://cdn.myanimelist.net/images/anime/4/6767.jpg;2005-10-02;2005-12-25;Oct 2, 2005 to Dec 25, 2005;
79;Shuffle!;Shuffle!;SHUFFLE! (シャッフル!);;TV;Visual novel;24;Finished Airing;24 min per ep;R+ - Mild Nudity;7.04;131761;3822;781;267369;1431;summer;2005;Xebec, Lantis, Memory-Tech;Funimation;asread.;Comedy, Drama, Fantasy, Romance, Ecchi;;Harem, School;Seinen;https://cdn.myanimelist.net/images/anime/10/19622.jpg;2005-07-08;2006-01-06;Jul 8, 2005 to Jan 6, 2006;Fridays
