id;title;title_en;title_jp;title_alias;type;source;num_episodes;status;duration;rating;score;scored_by;score_rank;popularity_rank;members;favorites;season;year;producers;licensors;studios;genres;explicit_genres;themes;target_audience;image_link;airing_date;end_date;full_airing_date;broadcast_day
40323;Gintama: Monster Strike-hen;;銀魂 ～モンスターストライク編～;Gintama x Monster Strike;ONA;Manga;2;Finished Airing;11 min per ep;PG-13 - Teens 13 or older;7.49;4381;1714;5035;14031;21;;;Sunrise, XFLAG;;Bandai Namco Pictures;Action, Comedy;;Parody, Samurai;;https://cdn.myanimelist.net/images/anime/1806/124660.jpg;2019-08-29;2019-09-04;Aug 29, 2019 to Sep 4, 2019;
40327;Mewkledreamy;;ミュークルドリーミー;;TV;Other;48;Finished Airing;24 min per ep;G - All Ages;7.05;1288;3738;6759;6820;27;spring;2020;Sanrio;;J.C.Staff;Adventure, Fantasy;;;Kids;https://cdn.myanimelist.net/images/anime/1806/105775.jpg;2020-04-05;2021-04-04;Apr 5, 2020 to Apr 4, 2021;Sundays
40331;Ongaku;On-Gaku: Our Sound;音楽;;Movie;Manga;1;Finished Airing;1 hr 11 min;PG-13 - Teens 13 or older;7.58;2978;1401;6230;8183;101;;;;GKIDS;;Slice of Life;;Music;;https://cdn.myanimelist.net/images/anime/1592/128270.jpg;2020-01-11;;Jan 11, 2020;
40332;Kyochuu Rettou Movie;The Island of Giant Insects Movie;劇場版 巨蟲列島;;Movie;Manga;1;Finished Airing;1 hr 16 min;R+ - Mild Nudity;4.58;9922;13080;4290;20689;18;;;;;Passione;Horror;;Gore, Survival;;https://cdn.myanimelist.net/images/anime/1721/119281.jpg;2020-01-10;;Jan 10, 2020;
40333;Uzumaki;Uzumaki: Spiral into Horror;うずまき;The Spiral;TV;Manga;4;Not yet aired;Unknown;;;;;1976;88621;328;;;Production I.G;;Drive;Avant Garde, Drama, Horror, Romance, Supernatural;;Psychological;Seinen;https://cdn.myanimelist.net/images/anime/1432/105265.jpg;2023-01-01;;2023 to ?;
40334;Code Geass: Hangyaku no Lelouch Picture Drama - Kiseki no Anniversary;Code Geass: Lelouch of the Rebellion: Miraculous Anniversary;コードギアス 反逆のルルーシュ キセキのアニバーサリー;;Special;Original;1;Finished Airing;16 min;PG-13 - Teens 13 or older;6.29;2037;7619;6819;6689;1;;;;;Sunrise;Slice of Life;;School;;https://cdn.myanimelist.net/images/anime/1633/102839.jpg;2017-04-21;;Apr 21, 2017;
40335;Kimi dake ni Motetainda.;;キミだけにモテたいんだ。;;Movie;Original;1;Finished Airing;54 min;PG-13 - Teens 13 or older;5.27;839;12035;6475;7578;9;;;;;Signal.MD;Drama, Slice of Life;;School;;https://cdn.myanimelist.net/images/anime/1454/102840.jpg;2019-10-25;;Oct 25, 2019;
40336;Love x Holic: Miwaku no Otome to Hakudaku Kankei - The Animation;;ラブホリック ~魅惑の乙女と白濁カンケイ~ THE ANIMATION;;OVA;Visual novel;2;Finished Airing;18 min per ep;Rx - Hentai;7.16;3165;;6643;7116;28;;;Pink Pineapple;;Seven;Fantasy, Supernatural, Hentai;;Mythology;;https://cdn.myanimelist.net/images/anime/1638/103708.jpg;2019-11-29;2019-12-20;Nov 29, 2019 to Dec 20, 2019;
40337;Aibeya The Animation;;アイベヤ THE ANIMATION;;OVA;Visual novel;1;Finished Airing;27 min;Rx - Hentai;7.23;5652;;5450;11495;67;;;Pink Pineapple;;Seven;Hentai;;;;https://cdn.myanimelist.net/images/anime/1419/103707.jpg;2019-11-29;;Nov 29, 2019;
40351;Pokemon (2019);Pokémon Journeys: The Series;ポケットモンスター;Pocket Monsters, Pokemon 2019, Pokémon;TV;Game;;Currently Airing;23 min;PG - Children;7.24;24960;2814;2269;70231;567;fall;2019;TV Tokyo, Shogakukan-Shueisha Productions, MediaNet;The Pokemon Company International;OLM;Action, Adventure, Comedy, Fantasy;;;Kids;https://cdn.myanimelist.net/images/anime/1689/105554.jpg;2019-11-17;;Nov 17, 2019 to ?;Fridays
